eta,sparse,r,b_d,f,policy,tps,gain,bound,b_eff,tpot_opt,tpot_cons,gpu_nonattn,gpu_attn,cpu_attn,c2c_decode,append_total,append_oldkv,append_flush,hbm_used_gb,hbm_fits,c2c_util,decode_batch_cap
0.3,0.1,1.0,64,0.05,partial_cpu_attn,14.880717619916785,1.0068668456355891,hbm_capacity,1,0.06720106016,0.06902343897837038,0.058333333333333334,0.008862726826666667,0.0014926697813333334,0.00032970903703703704,1.0911750743897126,0.15616500622222224,0.009687191703703704,188.795271168,True,0.004746915482359096,1.81630064217166
0.3,0.1,1.0,64,0.1,partial_cpu_attn,14.984730367950508,1.0139046102242024,hbm_capacity,1,0.06673460085333334,0.07004964945303704,0.058333333333333334,0.00839626752,0.0029853395626666668,0.00032970903703703704,1.0911750743897126,0.15616500622222224,0.009687191703703704,187.675768832,True,0.004779114595440602,1.917206233403419
0.3,0.1,1.0,64,0.2,partial_cpu_attn,27.29815259337392,1.8470617812532002,hbm_capacity,2,0.07326503114666667,0.08554580747140741,0.058333333333333334,0.014926697813333334,0.011941358250666667,0.00033941807407407405,1.0911750743897126,0.15616500622222224,0.009687191703703704,203.348801536,True,0.004497150715919718,2.1568570125788464
0.3,0.1,1.0,64,0.3,partial_cpu_attn,26.113141605024044,1.7668809521857627,hbm_capacity,2,0.07658978878340741,0.08965064937007408,0.058333333333333334,0.013060860586666665,0.017912037376000004,0.00033941807407407405,1.0911750743897126,0.15616500622222224,0.009687191703703704,198.870792192,True,0.004306828931426397,2.4649794429472536
0.3,0.1,1.0,64,0.5,partial_cpu_attn,28.994596734648685,1.9618474659863165,hbm_capacity,3,0.10346755388444445,0.11746133308444445,0.058333333333333334,0.0139937792,0.04478009344,0.00034912711111111105,1.0911750743897126,0.15616500622222224,0.009687191703703704,201.109796864,True,0.003302810342008994,3.450971220126154
0.3,0.1,1.0,64,1.0,full_cpu_attn,32.48900778391592,2.198288121631896,tpot_balanced,64,1.9698970318103706,1.9698970318103706,0.058333333333333334,0.0,1.9106173201066667,0.0009413783703703703,1.0911750743897126,0.15616500622222224,0.009687191703703704,167.524726784,True,0.00047717494697116123,inf
0.3,0.1,1.0,128,0.0,gpu_hot,14.779230922558847,1.0,hbm_capacity,1,0.06766251946666667,0.06766251946666667,0.058333333333333334,0.009329186133333334,0.0,0.0,1.0814878826860088,0.15616500622222224,0.0,189.914773504,True,0.004306099785236107,1.725485610063077
0.3,0.1,1.0,128,0.05,partial_cpu_attn,14.880717619916785,1.0068668456355891,hbm_capacity,1,0.06720106016,0.06902343897837038,0.058333333333333334,0.008862726826666667,0.0014926697813333334,0.00032970903703703704,1.0911750743897126,0.15616500622222224,0.009687191703703704,188.795271168,True,0.004746915482359096,1.81630064217166
0.3,0.1,1.0,128,0.1,partial_cpu_attn,14.984730367950508,1.0139046102242024,hbm_capacity,1,0.06673460085333334,0.07004964945303704,0.058333333333333334,0.00839626752,0.0029853395626666668,0.00032970903703703704,1.0911750743897126,0.15616500622222224,0.009687191703703704,187.675768832,True,0.004779114595440602,1.917206233403419
0.3,0.1,1.0,128,0.2,partial_cpu_attn,27.29815259337392,1.8470617812532002,hbm_capacity,2,0.07326503114666667,0.08554580747140741,0.058333333333333334,0.014926697813333334,0.011941358250666667,0.00033941807407407405,1.0911750743897126,0.15616500622222224,0.009687191703703704,203.348801536,True,0.004497150715919718,2.1568570125788464
0.3,0.1,1.0,128,0.3,partial_cpu_attn,26.113141605024044,1.7668809521857627,hbm_capacity,2,0.07658978878340741,0.08965064937007408,0.058333333333333334,0.013060860586666665,0.017912037376000004,0.00033941807407407405,1.0911750743897126,0.15616500622222224,0.009687191703703704,198.870792192,True,0.004306828931426397,2.4649794429472536
0.3,0.1,1.0,128,0.5,partial_cpu_attn,28.994596734648685,1.9618474659863165,hbm_capacity,3,0.10346755388444445,0.11746133308444445,0.058333333333333334,0.0139937792,0.04478009344,0.00034912711111111105,1.0911750743897126,0.15616500622222224,0.009687191703703704,201.109796864,True,0.003302810342008994,3.450971220126154
